feature,coefficient
cmi_q75,4.530189617421207
cmi_median,-4.154501326492078
cmi_q25,-3.74265820936702
cmi_mean,0.603855953307611
valid_fraction,-0.5151109902693358
cmi_min,-0.4804152349890208
cmi_max,-0.2549972903586613
cmi_std,-0.14494666044057666
