file_path,file_name,source_type,product_name,dataset_name,title,platform_id,scene_id,start_time,end_time,x_size,y_size,band_id,band_wavelength,scene_center_lat,scene_center_lon
raw/goes_cmi/ABI-L2-CMIPC_2024_285_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242851801171_e20242851803556_c20242851804062.nc,ABI-L2-CMIPC_2024_285_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242851801171_e20242851803556_c20242851804062.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20242851801171_e20242851803556_c20242851804062.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2024-10-11 18:01:17.100000+00:00,2024-10-11 18:03:55.600000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2024_286_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242861801170_e20242861803555_c20242861804062.nc,ABI-L2-CMIPC_2024_286_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242861801170_e20242861803555_c20242861804062.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20242861801170_e20242861803555_c20242861804062.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2024-10-12 18:01:17+00:00,2024-10-12 18:03:55.500000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2024_287_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242871801171_e20242871803555_c20242871804052.nc,ABI-L2-CMIPC_2024_287_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242871801171_e20242871803555_c20242871804052.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20242871801171_e20242871803555_c20242871804052.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2024-10-13 18:01:17.100000+00:00,2024-10-13 18:03:55.500000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2024_288_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242881801171_e20242881803557_c20242881804044.nc,ABI-L2-CMIPC_2024_288_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242881801171_e20242881803557_c20242881804044.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20242881801171_e20242881803557_c20242881804044.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2024-10-14 18:01:17.100000+00:00,2024-10-14 18:03:55.700000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2024_289_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242891801170_e20242891803554_c20242891804046.nc,ABI-L2-CMIPC_2024_289_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242891801170_e20242891803554_c20242891804046.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20242891801170_e20242891803554_c20242891804046.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2024-10-15 18:01:17+00:00,2024-10-15 18:03:55.400000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2024_290_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242901801171_e20242901803555_c20242901804073.nc,ABI-L2-CMIPC_2024_290_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242901801171_e20242901803555_c20242901804073.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20242901801171_e20242901803555_c20242901804073.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2024-10-16 18:01:17.100000+00:00,2024-10-16 18:03:55.500000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2024_291_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242911801172_e20242911803556_c20242911804051.nc,ABI-L2-CMIPC_2024_291_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242911801172_e20242911803556_c20242911804051.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20242911801172_e20242911803556_c20242911804051.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2024-10-17 18:01:17.200000+00:00,2024-10-17 18:03:55.600000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2024_292_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242921801170_e20242921803554_c20242921804031.nc,ABI-L2-CMIPC_2024_292_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242921801170_e20242921803554_c20242921804031.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20242921801170_e20242921803554_c20242921804031.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2024-10-18 18:01:17+00:00,2024-10-18 18:03:55.400000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2024_293_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242931801171_e20242931803556_c20242931804050.nc,ABI-L2-CMIPC_2024_293_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242931801171_e20242931803556_c20242931804050.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20242931801171_e20242931803556_c20242931804050.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2024-10-19 18:01:17.100000+00:00,2024-10-19 18:03:55.600000+00:00,2500,1500,13,10.329999923706055,,
raw/goes_cmi/ABI-L2-CMIPC_2024_294_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242941801171_e20242941803556_c20242941804060.nc,ABI-L2-CMIPC_2024_294_18_OR_ABI-L2-CMIPC-M6C13_G19_s20242941801171_e20242941803556_c20242941804060.nc,CMI,ABI-L2-CMIPC-M6C13,OR_ABI-L2-CMIPC-M6C13_G19_s20242941801171_e20242941803556_c20242941804060.nc,ABI L2 Cloud and Moisture Imagery,G19,CONUS,2024-10-20 18:01:17.100000+00:00,2024-10-20 18:03:55.600000+00:00,2500,1500,13,10.329999923706055,,
